"District","FIPS","Year","Incident Type","Measure Type","Variable","Value","R#","Region"
"Integrated Day Charter School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Interdistrict School for Arts and Communication District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",6,3,"Eastern"
"Interdistrict School for Arts and Communication District",NA,"2012-2013","Bullying","Number","Total Incidents",11,3,"Eastern"
"Interdistrict School for Arts and Communication District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Interdistrict School for Arts and Communication District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Interdistrict School for Arts and Communication District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Interdistrict School for Arts and Communication District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Interdistrict School for Arts and Communication District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Interdistrict School for Arts and Communication District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Interdistrict School for Arts and Communication District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Interdistrict School for Arts and Communication District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Jumoke Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Jumoke Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Jumoke Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Jumoke Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Jumoke Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Jumoke Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Jumoke Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Jumoke Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Jumoke Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Jumoke Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Kent School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Kent School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,5,"Western"
"Kent School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Kent School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,5,"Western"
"Kent School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Kent School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,5,"Western"
"Kent School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Kent School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"Kent School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Kent School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,5,"Western"
"Killingly School District",901540500,"2012-2013","Bullying","Number","Students with at least 1 incident",24,3,"Eastern"
"Killingly School District",901540500,"2012-2013","Bullying","Number","Total Incidents",28,3,"Eastern"
"Killingly School District",901540500,"2013-2014","Bullying","Number","Students with at least 1 incident",18,3,"Eastern"
"Killingly School District",901540500,"2013-2014","Bullying","Number","Total Incidents",19,3,"Eastern"
"Killingly School District",901540500,"2014-2015","Bullying","Number","Students with at least 1 incident",12,3,"Eastern"
"Killingly School District",901540500,"2014-2015","Bullying","Number","Total Incidents",15,3,"Eastern"
"Killingly School District",901540500,"2015-2016","Bullying","Number","Students with at least 1 incident",16,3,"Eastern"
"Killingly School District",901540500,"2015-2016","Bullying","Number","Total Incidents",18,3,"Eastern"
"Killingly School District",901540500,"2016-2017","Bullying","Number","Students with at least 1 incident",7,3,"Eastern"
"Killingly School District",901540500,"2016-2017","Bullying","Number","Total Incidents",7,3,"Eastern"
"LEARN",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,NA,NA
"LEARN",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,NA,NA
"LEARN",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,NA,NA
"LEARN",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,NA,NA
"LEARN",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,NA,NA
"LEARN",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,NA,NA
"LEARN",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,NA,NA
"LEARN",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,NA,NA
"LEARN",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",8,NA,NA
"LEARN",NA,"2016-2017","Bullying","Number","Total Incidents",8,NA,NA
"Lebanon School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Lebanon School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Lebanon School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Lebanon School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Lebanon School District",901142390,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Lebanon School District",901142390,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Lebanon School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Lebanon School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Lebanon School District",901142390,"2016-2017","Bullying","Number","Students with at least 1 incident",7,3,"Eastern"
"Lebanon School District",901142390,"2016-2017","Bullying","Number","Total Incidents",8,3,"Eastern"
"Ledyard School District",901142600,"2012-2013","Bullying","Number","Students with at least 1 incident",8,3,"Eastern"
"Ledyard School District",901142600,"2012-2013","Bullying","Number","Total Incidents",8,3,"Eastern"
"Ledyard School District",901142600,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Ledyard School District",901142600,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Ledyard School District",901142600,"2014-2015","Bullying","Number","Students with at least 1 incident",8,3,"Eastern"
"Ledyard School District",901142600,"2014-2015","Bullying","Number","Total Incidents",8,3,"Eastern"
"Ledyard School District",901142600,"2015-2016","Bullying","Number","Students with at least 1 incident",7,3,"Eastern"
"Ledyard School District",901142600,"2015-2016","Bullying","Number","Total Incidents",8,3,"Eastern"
"Ledyard School District",901142600,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Ledyard School District",901142600,"2016-2017","Bullying","Number","Total Incidents",7,3,"Eastern"
"Lisbon School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Lisbon School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Lisbon School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Lisbon School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Lisbon School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Lisbon School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Lisbon School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Lisbon School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Lisbon School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Lisbon School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Litchfield School District",900543370,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Litchfield School District",900543370,"2012-2013","Bullying","Number","Total Incidents",-9999,5,"Western"
"Litchfield School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Litchfield School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,5,"Western"
"Litchfield School District",900543370,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Litchfield School District",900543370,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"Litchfield School District",900543370,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Litchfield School District",900543370,"2015-2016","Bullying","Number","Total Incidents",-9999,5,"Western"
"Litchfield School District",900543370,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Litchfield School District",900543370,"2016-2017","Bullying","Number","Total Incidents",-9999,5,"Western"
"Madison School District",900944560,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Madison School District",900944560,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Madison School District",900944560,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Madison School District",900944560,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Madison School District",900944560,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Madison School District",900944560,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Madison School District",900944560,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Madison School District",900944560,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Madison School District",900944560,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Madison School District",900944560,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Manchester School District",900344700,"2012-2013","Bullying","Number","Students with at least 1 incident",6,4,"North Central"
"Manchester School District",900344700,"2012-2013","Bullying","Number","Total Incidents",6,4,"North Central"
"Manchester School District",900344700,"2013-2014","Bullying","Number","Students with at least 1 incident",23,4,"North Central"
"Manchester School District",900344700,"2013-2014","Bullying","Number","Total Incidents",26,4,"North Central"
"Manchester School District",900344700,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Manchester School District",900344700,"2014-2015","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Manchester School District",900344700,"2015-2016","Bullying","Number","Students with at least 1 incident",11,4,"North Central"
