"District","FIPS","Year","Incident Type","Measure Type","Variable","Value"
"Lisbon School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Lisbon School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Lisbon School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Lisbon School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Lisbon School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Lisbon School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Lisbon School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Lisbon School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Litchfield School District",900543370,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Litchfield School District",900543370,"2012-2013","Bullying","Number","Total Incidents",-9999
"Litchfield School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Litchfield School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Litchfield School District",900543370,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Litchfield School District",900543370,"2014-2015","Bullying","Number","Total Incidents",-9999
"Litchfield School District",900543370,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Litchfield School District",900543370,"2015-2016","Bullying","Number","Total Incidents",-9999
"Litchfield School District",900543370,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Litchfield School District",900543370,"2016-2017","Bullying","Number","Total Incidents",-9999
"Madison School District",900944560,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Madison School District",900944560,"2012-2013","Bullying","Number","Total Incidents",-9999
"Madison School District",900944560,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Madison School District",900944560,"2013-2014","Bullying","Number","Total Incidents",-9999
"Madison School District",900944560,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Madison School District",900944560,"2014-2015","Bullying","Number","Total Incidents",-9999
"Madison School District",900944560,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Madison School District",900944560,"2015-2016","Bullying","Number","Total Incidents",-9999
"Madison School District",900944560,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Madison School District",900944560,"2016-2017","Bullying","Number","Total Incidents",-9999
"Manchester School District",900344700,"2012-2013","Bullying","Number","Students with at least 1 incident",6
"Manchester School District",900344700,"2012-2013","Bullying","Number","Total Incidents",6
"Manchester School District",900344700,"2013-2014","Bullying","Number","Students with at least 1 incident",23
"Manchester School District",900344700,"2013-2014","Bullying","Number","Total Incidents",26
"Manchester School District",900344700,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Manchester School District",900344700,"2014-2015","Bullying","Number","Total Incidents",-9999
"Manchester School District",900344700,"2015-2016","Bullying","Number","Students with at least 1 incident",11
"Manchester School District",900344700,"2015-2016","Bullying","Number","Total Incidents",12
"Manchester School District",900344700,"2016-2017","Bullying","Number","Students with at least 1 incident",14
"Manchester School District",900344700,"2016-2017","Bullying","Number","Total Incidents",14
"Mansfield School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Mansfield School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Mansfield School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Mansfield School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Mansfield School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Mansfield School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Mansfield School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Mansfield School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Mansfield School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",6
"Mansfield School District",NA,"2016-2017","Bullying","Number","Total Incidents",7
"Marlborough School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Marlborough School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Marlborough School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Marlborough School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Marlborough School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Marlborough School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Marlborough School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Marlborough School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Marlborough School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Marlborough School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Meriden School District",900946520,"2012-2013","Bullying","Number","Students with at least 1 incident",16
"Meriden School District",900946520,"2012-2013","Bullying","Number","Total Incidents",18
"Meriden School District",900946520,"2013-2014","Bullying","Number","Students with at least 1 incident",16
"Meriden School District",900946520,"2013-2014","Bullying","Number","Total Incidents",17
"Meriden School District",900946520,"2014-2015","Bullying","Number","Students with at least 1 incident",14
"Meriden School District",900946520,"2014-2015","Bullying","Number","Total Incidents",15
"Meriden School District",900946520,"2015-2016","Bullying","Number","Students with at least 1 incident",11
"Meriden School District",900946520,"2015-2016","Bullying","Number","Total Incidents",14
"Meriden School District",900946520,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Meriden School District",900946520,"2016-2017","Bullying","Number","Total Incidents",-9999
"Middletown School District",900747360,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Middletown School District",900747360,"2012-2013","Bullying","Number","Total Incidents",8
"Middletown School District",900747360,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Middletown School District",900747360,"2013-2014","Bullying","Number","Total Incidents",7
"Middletown School District",900747360,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Middletown School District",900747360,"2014-2015","Bullying","Number","Total Incidents",-9999
"Middletown School District",900747360,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Middletown School District",900747360,"2015-2016","Bullying","Number","Total Incidents",-9999
"Middletown School District",900747360,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Middletown School District",900747360,"2016-2017","Bullying","Number","Total Incidents",-9999
"Milford School District",900947535,"2012-2013","Bullying","Number","Students with at least 1 incident",21
"Milford School District",900947535,"2012-2013","Bullying","Number","Total Incidents",22
"Milford School District",900947535,"2013-2014","Bullying","Number","Students with at least 1 incident",19
"Milford School District",900947535,"2013-2014","Bullying","Number","Total Incidents",20
"Milford School District",900947535,"2014-2015","Bullying","Number","Students with at least 1 incident",10
"Milford School District",900947535,"2014-2015","Bullying","Number","Total Incidents",10
"Milford School District",900947535,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Milford School District",900947535,"2015-2016","Bullying","Number","Total Incidents",6
"Milford School District",900947535,"2016-2017","Bullying","Number","Students with at least 1 incident",9
"Milford School District",900947535,"2016-2017","Bullying","Number","Total Incidents",9
"Monroe School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Monroe School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Monroe School District",900148620,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Monroe School District",900148620,"2013-2014","Bullying","Number","Total Incidents",-9999
"Monroe School District",900148620,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Monroe School District",900148620,"2014-2015","Bullying","Number","Total Incidents",-9999
"Monroe School District",900148620,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Monroe School District",900148620,"2015-2016","Bullying","Number","Total Incidents",-9999
"Monroe School District",900148620,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Monroe School District",900148620,"2016-2017","Bullying","Number","Total Incidents",-9999
"Montville School District",901148900,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Montville School District",901148900,"2012-2013","Bullying","Number","Total Incidents",-9999
"Montville School District",901148900,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Montville School District",901148900,"2013-2014","Bullying","Number","Total Incidents",-9999
"Montville School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Montville School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Montville School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
