"Town","FIPS","Year","Gender","Race/Ethnicity","Age Cohort","Measure Type","Variable","Value","Region"
"Ashford",901501430,"2012-2016","Total","All","35 to 44 years","Number","Population",464,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","35 to 44 years","Number","Margins of Error",109,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","45 to 54 years","Number","Population",771,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","45 to 54 years","Number","Margins of Error",126,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","55 to 64 years","Number","Population",734,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","55 to 64 years","Number","Margins of Error",132,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","65 to 74 years","Number","Population",343,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","65 to 74 years","Number","Margins of Error",86,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","75 to 84 years","Number","Population",212,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","75 to 84 years","Number","Margins of Error",68,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","85 years and over","Number","Population",11,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","85 years and over","Number","Margins of Error",21,"Eastern Region"
"Avon",900302060,"2012-2016","Female","All","Total","Number","Population",9632,"Central Region"
"Avon",900302060,"2012-2016","Female","All","Total","Number","Margins of Error",273,"Central Region"
"Avon",900302060,"2012-2016","Female","All","0 to 4 years","Number","Population",557,"Central Region"
"Avon",900302060,"2012-2016","Female","All","0 to 4 years","Number","Margins of Error",139,"Central Region"
"Avon",900302060,"2012-2016","Female","All","5 to 9 years","Number","Population",663,"Central Region"
"Avon",900302060,"2012-2016","Female","All","5 to 9 years","Number","Margins of Error",162,"Central Region"
"Avon",900302060,"2012-2016","Female","All","10 to 14 years","Number","Population",540,"Central Region"
"Avon",900302060,"2012-2016","Female","All","10 to 14 years","Number","Margins of Error",110,"Central Region"
"Avon",900302060,"2012-2016","Female","All","15 to 19 years","Number","Population",529,"Central Region"
"Avon",900302060,"2012-2016","Female","All","15 to 19 years","Number","Margins of Error",128,"Central Region"
"Avon",900302060,"2012-2016","Female","All","20 to 24 years","Number","Population",330,"Central Region"
"Avon",900302060,"2012-2016","Female","All","20 to 24 years","Number","Margins of Error",126,"Central Region"
"Avon",900302060,"2012-2016","Female","All","25 to 29 years","Number","Population",320,"Central Region"
"Avon",900302060,"2012-2016","Female","All","25 to 29 years","Number","Margins of Error",102,"Central Region"
"Avon",900302060,"2012-2016","Female","All","30 to 34 years","Number","Population",437,"Central Region"
"Avon",900302060,"2012-2016","Female","All","30 to 34 years","Number","Margins of Error",148,"Central Region"
"Avon",900302060,"2012-2016","Female","All","35 to 44 years","Number","Population",1217,"Central Region"
"Avon",900302060,"2012-2016","Female","All","35 to 44 years","Number","Margins of Error",189,"Central Region"
"Avon",900302060,"2012-2016","Female","All","45 to 54 years","Number","Population",1552,"Central Region"
"Avon",900302060,"2012-2016","Female","All","45 to 54 years","Number","Margins of Error",183,"Central Region"
"Avon",900302060,"2012-2016","Female","All","55 to 64 years","Number","Population",1398,"Central Region"
"Avon",900302060,"2012-2016","Female","All","55 to 64 years","Number","Margins of Error",201,"Central Region"
"Avon",900302060,"2012-2016","Female","All","65 to 74 years","Number","Population",1113,"Central Region"
"Avon",900302060,"2012-2016","Female","All","65 to 74 years","Number","Margins of Error",218,"Central Region"
"Avon",900302060,"2012-2016","Female","All","75 to 84 years","Number","Population",616,"Central Region"
"Avon",900302060,"2012-2016","Female","All","75 to 84 years","Number","Margins of Error",172,"Central Region"
"Avon",900302060,"2012-2016","Female","All","85 years and over","Number","Population",360,"Central Region"
"Avon",900302060,"2012-2016","Female","All","85 years and over","Number","Margins of Error",119,"Central Region"
"Avon",900302060,"2012-2016","Male","All","Total","Number","Population",8720,"Central Region"
"Avon",900302060,"2012-2016","Male","All","Total","Number","Margins of Error",268,"Central Region"
"Avon",900302060,"2012-2016","Male","All","0 to 4 years","Number","Population",479,"Central Region"
"Avon",900302060,"2012-2016","Male","All","0 to 4 years","Number","Margins of Error",194,"Central Region"
"Avon",900302060,"2012-2016","Male","All","5 to 9 years","Number","Population",520,"Central Region"
"Avon",900302060,"2012-2016","Male","All","5 to 9 years","Number","Margins of Error",128,"Central Region"
"Avon",900302060,"2012-2016","Male","All","10 to 14 years","Number","Population",783,"Central Region"
